date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:16:13	3670/3670	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2011:16:14%20GMT	https://demo.themewagon.com/preview/free-bootstrap-4-html5-professional-business-website-template-finloans	C:/My%20Web%20Sites/Template%203/demo.themewagon.com/preview/free-bootstrap-4-html5-professional-business-website-template-finloans.html	(from )
14:16:14	148/148	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jun%202020%2011:16:14%20GMT	https://demo.themewagon.com/robots.txt		(from )
14:16:15	6928/6928	---MCZ	200	added ('OK')	text/css	etag:W/%225881ee7c-1b10%22	https://themewagon.com/wp-content/themes/wagoncore/css/demo.css	C:/My%20Web%20Sites/Template%203/themewagon.com/wp-content/themes/wagoncore/css/demo.css	(from https://demo.themewagon.com/preview/free-bootstrap-4-html5-professional-business-website-template-finloans)
14:16:15	20145/20145	---M--	200	added ('OK')	image/png	etag:%225881ee7c-4eb1%22	https://themewagon.com/wp-content/themes/wagoncore/img/logo-demo.png	C:/My%20Web%20Sites/Template%203/themewagon.com/wp-content/themes/wagoncore/img/logo-demo.png	(from https://demo.themewagon.com/preview/free-bootstrap-4-html5-professional-business-website-template-finloans)
14:16:15	425/425	---M--	200	added ('OK')	image/png	etag:%225881ee7c-1a9%22	https://themewagon.com/wp-content/themes/wagoncore/img/download.png	C:/My%20Web%20Sites/Template%203/themewagon.com/wp-content/themes/wagoncore/img/download.png	(from https://demo.themewagon.com/preview/free-bootstrap-4-html5-professional-business-website-template-finloans)
14:16:15	2892/2892	---M--	200	added ('OK')	image/png	etag:%225881ee7c-b4c%22	https://themewagon.com/wp-content/themes/wagoncore/img/cross.png	C:/My%20Web%20Sites/Template%203/themewagon.com/wp-content/themes/wagoncore/img/cross.png	(from https://demo.themewagon.com/preview/free-bootstrap-4-html5-professional-business-website-template-finloans)
14:16:17	3052/3052	---M--	200	added ('OK')	image/png	etag:%225881ee7c-bec%22	https://themewagon.com/wp-content/themes/wagoncore/img/devices.png	C:/My%20Web%20Sites/Template%203/themewagon.com/wp-content/themes/wagoncore/img/devices.png	(from https://themewagon.com/wp-content/themes/wagoncore/css/demo.css)
14:16:19	21371/21371	---M--	200	added ('OK')	image/png	etag:%225881ee7c-537b%22	https://themewagon.com/wp-content/themes/wagoncore/img/bg.png	C:/My%20Web%20Sites/Template%203/themewagon.com/wp-content/themes/wagoncore/img/bg.png	(from https://themewagon.com/wp-content/themes/wagoncore/css/demo.css)
14:16:20	45892/45892	---MC-	200	added ('OK')	text/javascript	date:Thu,%2030%20Apr%202020%2021:54:13%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/Template%203/www.google-analytics.com/analytics.js	(from https://demo.themewagon.com/preview/free-bootstrap-4-html5-professional-business-website-template-finloans)
14:16:20	95931/95931	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	C:/My%20Web%20Sites/Template%203/ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	(from https://demo.themewagon.com/preview/free-bootstrap-4-html5-professional-business-website-template-finloans)
